year,make,model,price,mileage
2018,Volkswagen,Passat 2.0T SE,17500,6282
2017,Chevrolet,Volt LT,15900,26888
2019,Hyundai,Santa Fe SE 2.4,18999,33166
2018,Buick,Regal Sportback Essence,22600,18785
2018,Buick,LaCrosse Essence,20850,19829
2017,Volkswagen,Golf Alltrack TSI SEL 4Motion Wagon,22500,23080
2019,Buick,Regal TourX Essence,25520,12571
2017,GMC,Acadia SLE-2,23670,33100
2018,Chevrolet,Traverse LS,25440,13771
2018,GMC,Acadia SLT-1,25190,39933
2017,Cadillac,ATS 2.0L Turbo,20680,14756
2018,Chevrolet,Equinox Premier,24290,12548
2017,Buick,Regal Premium II,17170,20862
2017,GMC,Acadia SLT-1,27370,31598
2017,Volkswagen,Golf Alltrack TSI SEL 4Motion Wagon,22500,23080
2017,Cadillac,XT5 Luxury FWD,27540,24179
2019,Buick,LaCrosse Essence,22500,16117
2018,Subaru,Crosstrek 2.0i Limited,24484,15012
2019,Honda,Civic Sport,19582,13957
2018,Kia,Stinger Base,23500,15605
2018,Chevrolet,Volt Premier,28995,2263
2019,GMC,Acadia SLE-2,25190,13248
2019,Jeep,Compass Latitude,20270,10712
2018,Chrysler,300 S,19500,35294
2017,Mercedes-Benz,Base 4MATIC,28961,29981
2017,Hyundai,Elantra Limited,15000,15500
2019,Chevrolet,Impala 1LT,22995,34554
2018,Chevrolet,Malibu LT,14688,24086
2019,Kia,Niro S Touring,24100,9098
2017,Chevrolet,Impala 1LT,15988,34985
2019,Dodge,Durango GT,28600,27540
2018,Chevrolet,Cruze LT,14800,28529
2018,Hyundai,Ioniq EV Electric,24999,13149
2017,BMW,iPerformance,25451,35865
2017,BMW,iPerformance,26395,24239
2019,Hyundai,Ioniq Plug-In Hybrid Base,24959,12400
2018,Buick,Regal Sportback Essence,22200,21423
2018,Buick,Regal Sportback Essence,22600,18785
2018,Kia,Rio EX,14900,28177
2018,Mercedes-Benz,Base,26999,12117
2017,Mercedes-Benz,Base,22695,26546
2017,Mercedes-Benz,Base,25985,26587
2017,Mercedes-Benz,Base 4MATIC,26991,32438
2017,Mercedes-Benz,Base 4MATIC,26382,22344
2017,Mercedes-Benz,B 250e,18985,12994
2017,GMC,Acadia SLE-2,22800,39064
2018,Honda,Pilot EX,28888,29900
2017,Ford,Fusion Energi SE Luxury,15200,29147
2018,Chrysler,300 S,18299,37492
2017,Hyundai,Santa Fe SE,20994,29548
2018,Hyundai,Santa Fe Sport 2.0L Turbo,25888,190
2019,Hyundai,Santa Fe SEL Plus 2.4,22800,17637
2018,Hyundai,Santa Fe Limited Ultimate,28900,6832
2017,Genesis,G80 3.8L,28800,31354
2019,Kia,Optima LX,16900,17400
2019,Nissan,Altima 2.5 SR,21293,5509
2018,Hyundai,Santa Fe Sport 2.0T Ultimate,26900,16301
2019,Hyundai,Kona Ultimate,22900,23494
2018,Chevrolet,Equinox 1LT,19987,12165
2018,Chevrolet,Traverse LS,26488,13966
2018,GMC,Acadia SLT-1,23900,24900
2018,GMC,Acadia SLT-1,23900,24500
2019,GMC,Acadia SLE-2,24220,13019
2019,Buick,LaCrosse Essence,22500,16117
2019,Ford,Flex Limited,23000,27000
2017,GMC,Acadia SLE-2,23670,33100
2018,Buick,Encore Essence,17310,28366
2018,Buick,LaCrosse Essence,20850,19829
2017,Cadillac,XT5 Luxury FWD,28499,30000
2019,Chevrolet,Equinox 1LT,20770,21406
2018,Ford,Edge Titanium,23999,36957
2018,Nissan,Murano SV,18294,39920
2019,Hyundai,Santa Fe XL SE,26800,1943
2018,Ford,EcoSport SES,19100,3930
2017,Hyundai,Sonata SE,14157,36908
2017,GMC,Acadia SLE-1,20785,31442
2017,Chevrolet,Malibu 1LT,13988,5773
2018,Chevrolet,Traverse LS,25440,13771
2019,GMC,Acadia SLT-1,26510,27050
2017,Hyundai,Elantra Limited,15190,13907
2017,Hyundai,Sonata Limited,19180,28399
2019,Cadillac,XTS Luxury,24971,27829
2018,Buick,Regal Sportback Preferred II,19999,21432
2019,Hyundai,Santa Fe XL SE,29155,8056
2019,Kia,Rio S,13989,11602
2017,Cadillac,XT5 Luxury,29789,20763
2018,Honda,Clarity Plug-In Hybrid Touring,27550,24122
2018,Chevrolet,Trax LT,18000,9888
2018,Hyundai,Elantra SEL,12980,39312
2019,GMC,Acadia SLE-2,24220,13019
2017,Genesis,G80 3.8L,29970,25232
2017,GMC,Acadia SLE-2,23670,33100
2017,Buick,LaCrosse Premium,25570,26230
2017,Volkswagen,Golf Alltrack TSI SEL 4Motion Wagon,22500,23080
2019,Volkswagen,Passat 2.0T Wolfsburg Edition,19550,16539
2019,GMC,Terrain SLT,23260,15926
2019,Chevrolet,Equinox 1LT,20770,21406
2019,Jeep,Compass Latitude,20270,10712
2018,Hyundai,Santa Fe SE,22250,10148
2019,Jeep,Cherokee Trailhawk,27500,25967
2019,BMW,X2 sDrive28i,28988,11999
2017,Honda,Accord EX-L V-6,19450,35170
2019,Hyundai,Kona SE,14999,30531
2017,Kia,Sorento SXL V6,27140,27980
2019,GMC,Acadia SLT-1,28920,13733
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2019,GMC,Acadia SLE-2,25440,14296
2018,Nissan,Murano SV,18700,39444
2019,Buick,Enclave Essence,29380,21490
2017,Buick,LaCrosse Premium,25570,26230
2019,GMC,Acadia SLT-1,26510,27050
2018,Buick,Encore Preferred,19940,20450
2019,GMC,Acadia SLE-2,24220,13019
2018,Cadillac,ATS 3.6L Premium Luxury,27130,20426
2019,GMC,Acadia SLT-1,28800,13080
2019,GMC,Acadia SLT-1,27810,17431
2017,Buick,Encore Preferred,15950,23894
2018,Kia,Sportage SX Turbo,21030,31684
2017,Genesis,G80 3.8L,27760,36559
2017,GMC,Acadia Denali,27650,34508
2018,Chevrolet,Impala 1LT,15999,31099
2018,Honda,Clarity Plug-In Hybrid Base,24592,23373
2018,Chevrolet,Cruze LT,13883,23226
2017,Hyundai,Sonata Limited,17993,22591
2018,Chevrolet,Traverse LT Cloth,25500,32839
2019,Hyundai,Santa Fe XL SE,26800,1943
2017,Buick,Regal Turbo Sport Touring,17888,35640
2017,Buick,Regal Premium II,17170,20862
2017,Hyundai,Elantra Limited,15190,13907
2019,Buick,LaCrosse Essence,22500,16117
2019,GMC,Acadia SLT-1,28920,13733
2019,Volkswagen,Atlas 3.6L V6 SE,29480,20337
2019,GMC,Acadia SLT-1,28800,13080
2017,Hyundai,Sonata Sport,17230,29610
2019,GMC,Terrain SLT,23820,13125
2019,Buick,Enclave Essence,29380,21490
2018,Nissan,Rogue SV,15999,32669
2017,Buick,Encore Preferred,14695,21816
2019,Chevrolet,Malibu LT,15069,19763
2018,Chrysler,300 S,20190,32716
2017,Audi,A4 2.0T Premium,21000,21500
2018,Chevrolet,Equinox LS,15300,21707
2018,Honda,Clarity Plug-In Hybrid Base,26440,9752
2018,Nissan,Murano SV,18700,39444
2018,Chevrolet,Equinox 1LT,15861,16998
2017,Hyundai,Sonata SE,13983,30144
2018,Ford,Fusion Hybrid,16125,32284
2020,Hyundai,Santa Fe SE w/SULEV,25991,36
2019,Kia,Forte LXS,16900,2384
2017,Hyundai,Sonata Limited,18700,21295
2019,GMC,Acadia SLE-1,27298,28300
2018,Subaru,Legacy 2.5i Premium,20379,11655
2017,GMC,Acadia Denali,29894,30799
2018,Chevrolet,Traverse LS,25391,20769
2019,Chevrolet,Equinox LS,25295,89
2018,Buick,Encore Preferred,15488,36314
2017,Buick,LaCrosse Premium,25570,26230
2017,Buick,LaCrosse Premium,26930,27620
2017,Buick,Regal Premium II,17170,20862
2018,Chevrolet,Malibu LT,14999,38886
2019,GMC,Acadia SLE-2,25190,13248
2018,Kia,Sportage SX Turbo,21030,31684
2019,GMC,Acadia SLT-1,26710,27250
2019,GMC,Acadia SLE-2,23980,22238
2019,GMC,Acadia SLE-2,25440,14296
2019,Buick,Enclave Essence,29380,21490
2019,Dodge,Charger GT,28999,12039
2019,Buick,Regal TourX Essence,24020,20404
2019,Buick,LaCrosse Essence,22500,16117
2018,Mazda,Mazda6 Touring,18531,37312
2018,Subaru,Legacy 2.5i Premium,21500,13681
2018,Nissan,Murano SV,18700,39444
2017,Buick,LaCrosse Premium,26930,27620
2019,GMC,Acadia SLE-2,25440,14296
2017,Buick,LaCrosse Premium,25570,26230
2019,Buick,Enclave Essence,29380,21490
2019,GMC,Acadia SLE-2,23980,22238
2018,Ford,Fusion Hybrid Titanium,15990,16490
2018,Ford,Edge Titanium,22896,33445
2018,Chevrolet,Equinox 1LT,25999,13395
2019,Kia,Sportage EX,22989,14532
2017,Buick,Encore Preferred,15989,12155
2018,Nissan,Murano SV,18700,39444
2019,Nissan,Altima 2.5 SR,21000,14402
2019,Hyundai,Santa Fe XL SE,26800,1943
2019,Buick,Regal TourX Essence,24020,20404
2017,Buick,Regal Premium II,17170,20862
2019,GMC,Acadia SLE-2,25440,14296
2017,Buick,LaCrosse Premium,26930,27620
2019,GMC,Acadia SLE-2,25190,13248
2018,Kia,Sportage SX Turbo,21030,31684
2019,GMC,Acadia SLE-2,24460,11839
2019,GMC,Terrain SLT,24960,765
2019,Buick,Enclave Essence,29380,21490
2017,Hyundai,Elantra Limited,15190,13907
2019,Volkswagen,Atlas 3.6L V6 SE,29480,20337
2018,Buick,LaCrosse Essence,20850,19829
2018,Buick,Encore Preferred,19940,20450
2018,Kia,Soul +,13400,14999
2018,Buick,Regal Sportback Essence,21394,21998
2018,Subaru,Outback 2.5i Premium,22995,29059
2018,Kia,Soul +,15900,22300
2018,Honda,Pilot EX,29000,8187
2017,Buick,LaCrosse Premium,26930,27620
2018,GMC,Terrain SLE,21530,3138
2019,GMC,Acadia SLE-2,24460,11839
2019,Buick,LaCrosse Essence,22500,16117
2019,Volkswagen,Atlas 3.6L V6 SE,29480,20337
2019,Chevrolet,Equinox 1LT,21270,22011
2019,GMC,Acadia SLE-2,23980,22238
2017,Chevrolet,Malibu Premier,19980,18993
2017,Buick,LaCrosse Essence,23970,1292
2017,Hyundai,Sonata Sport,17230,29610
2019,GMC,Acadia SLE-2,25190,13248
2019,GMC,Terrain SLT,23260,12222
2018,Buick,Encore Essence,17310,28366
2019,GMC,Acadia SLT-1,29850,9608
